Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 4:21:16 PM, images/UI.png, 235, 151, 35.7
1/20/2015 4:21:16 PM, images/TypeShortcut.png, 292, 171, 41.4
1/20/2015 4:21:16 PM, images/TypeSealed.png, 409, 255, 37.7
1/20/2015 4:21:17 PM, images/TypePublic.png, 282, 161, 42.9
1/20/2015 4:21:17 PM, images/TypeProtected.png, 365, 226, 38.1
1/20/2015 4:21:17 PM, images/TypePrivate.png, 296, 171, 42.2
1/20/2015 4:21:18 PM, images/TypeInternal.png, 353, 234, 33.7
1/20/2015 4:21:18 PM, images/TypeDefinitionShortcut.png, 296, 174, 41.2
1/20/2015 4:21:18 PM, images/TypeDefinitionSealed.png, 441, 289, 34.5
1/20/2015 4:21:19 PM, images/TypeDefinitionPublic.png, 257, 154, 40.1
1/20/2015 4:21:19 PM, images/TypeDefinitionProtected.png, 369, 231, 37.4
1/20/2015 4:21:19 PM, images/TypeDefinitionPrivate.png, 288, 167, 42
1/20/2015 4:21:20 PM, images/TypeDefinitionInternal.png, 360, 232, 35.6
1/20/2015 4:21:20 PM, images/TypeDefinition.png, 257, 154, 40.1
1/20/2015 4:21:20 PM, images/Type.png, 228, 156, 31.6
1/20/2015 4:21:21 PM, images/TXRowSampling.png, 353, 227, 35.7
1/20/2015 4:21:21 PM, images/TXRowCount.png, 253, 154, 39.1
1/20/2015 4:21:21 PM, images/TXPrecentageSampling.png, 434, 302, 30.4
1/20/2015 4:21:22 PM, images/TXMergeJoin.png, 420, 247, 41.2
1/20/2015 4:21:22 PM, images/TXLineage.png, 386, 223, 42.2
1/20/2015 4:21:22 PM, images/TwoX.png, 226, 148, 34.5
1/20/2015 4:21:23 PM, images/TwoWayRelay.png, 492, 330, 32.9
1/20/2015 4:21:23 PM, images/TwoWayEndPoint.png, 458, 250, 45.4
1/20/2015 4:21:24 PM, images/TwoWayDataBinding.png, 463, 278, 40
1/20/2015 4:21:24 PM, images/TwoRowsTwoColumns.png, 176, 139, 21
1/20/2015 4:21:24 PM, images/TwoRowsTopSplit.png, 192, 142, 26
1/20/2015 4:21:25 PM, images/TwoRowsBottomSplit.png, 191, 142, 25.7
1/20/2015 4:21:25 PM, images/TwoRows.png, 172, 137, 20.3
1/20/2015 4:21:25 PM, images/TwoColumnsRightSplit.png, 201, 141, 29.9
1/20/2015 4:21:26 PM, images/TwoColumnsLeftSplit.png, 199, 143, 28.1
1/20/2015 4:21:26 PM, images/TwoColumns.png, 179, 138, 22.9
1/20/2015 4:21:26 PM, images/TurnOffTableWidth.png, 360, 247, 31.4
1/20/2015 4:21:27 PM, images/TSSourceFile.png, 320, 201, 37.2
1/20/2015 4:21:27 PM, images/TSProjectNode.png, 324, 206, 36.4
1/20/2015 4:21:27 PM, images/TSFileNode.png, 421, 271, 35.6
1/20/2015 4:21:28 PM, images/TSCordovaMultiDevice.png, 558, 351, 37.1
1/20/2015 4:21:28 PM, images/TSApplication.png, 180, 139, 22.8
1/20/2015 4:21:28 PM, images/TryCatch.png, 304, 196, 35.5
1/20/2015 4:21:29 PM, images/TriggerWarning.png, 458, 247, 46.1
1/20/2015 4:21:29 PM, images/TriggerScript.png, 469, 280, 40.3
1/20/2015 4:21:29 PM, images/TriggersActiveWhenOn.png, 215, 142, 34
1/20/2015 4:21:30 PM, images/TriggerError.png, 434, 274, 36.9
