Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 1:14:57 PM, img/2015/GlyphInformation/GlyphItemShortcut.png, 385, 222, 42.3
1/20/2015 1:14:58 PM, img/2015/GlyphInformation/GlyphItemPublic.png, 385, 222, 42.3
1/20/2015 1:14:58 PM, img/2015/GlyphInformation/GlyphItemProtected.png, 385, 222, 42.3
1/20/2015 1:14:59 PM, img/2015/GlyphInformation/GlyphItemPrivate.png, 385, 222, 42.3
1/20/2015 1:14:59 PM, img/2015/GlyphInformation/GlyphItemInternal.png, 385, 222, 42.3
1/20/2015 1:15:00 PM, img/2015/GlyphInformation/GlyphItemFriend.png, 385, 222, 42.3
1/20/2015 1:15:00 PM, img/2015/GlyphGroupVariable/TotalGlyphItems.png, 208, 129, 38
1/20/2015 1:15:01 PM, img/2015/GlyphGroupVariable/GlyphItemShortcut.png, 489, 237, 51.5
1/20/2015 1:15:01 PM, img/2015/GlyphGroupVariable/GlyphItemPublic.png, 414, 208, 49.8
1/20/2015 1:15:02 PM, img/2015/GlyphGroupVariable/GlyphItemProtected.png, 553, 267, 51.7
1/20/2015 1:15:02 PM, img/2015/GlyphGroupVariable/GlyphItemPrivate.png, 485, 237, 51.1
1/20/2015 1:15:03 PM, img/2015/GlyphGroupVariable/GlyphItemInternal.png, 541, 260, 51.9
1/20/2015 1:15:03 PM, img/2015/GlyphGroupVariable/GlyphItemFriend.png, 541, 260, 51.9
1/20/2015 1:15:03 PM, img/2015/GlyphGroupValueType/TotalGlyphItems.png, 249, 160, 35.7
1/20/2015 1:15:04 PM, img/2015/GlyphGroupValueType/GlyphItemShortcut.png, 257, 162, 37
1/20/2015 1:15:04 PM, img/2015/GlyphGroupValueType/GlyphItemPublic.png, 208, 129, 38
1/20/2015 1:15:04 PM, img/2015/GlyphGroupValueType/GlyphItemProtected.png, 341, 224, 34.3
1/20/2015 1:15:05 PM, img/2015/GlyphGroupValueType/GlyphItemPrivate.png, 263, 162, 38.4
1/20/2015 1:15:05 PM, img/2015/GlyphGroupValueType/GlyphItemInternal.png, 335, 216, 35.5
1/20/2015 1:15:06 PM, img/2015/GlyphGroupValueType/GlyphItemFriend.png, 335, 216, 35.5
1/20/2015 1:15:06 PM, img/2015/GlyphGroupUnion/TotalGlyphItems.png, 414, 208, 49.8
1/20/2015 1:15:06 PM, img/2015/GlyphGroupUnion/GlyphItemShortcut.png, 292, 167, 42.8
1/20/2015 1:15:07 PM, img/2015/GlyphGroupUnion/GlyphItemPublic.png, 259, 147, 43.2
1/20/2015 1:15:08 PM, img/2015/GlyphGroupUnion/GlyphItemProtected.png, 399, 228, 42.9
1/20/2015 1:15:08 PM, img/2015/GlyphGroupUnion/GlyphItemPrivate.png, 398, 273, 31.4
1/20/2015 1:15:09 PM, img/2015/GlyphGroupUnion/GlyphItemInternal.png, 371, 225, 39.4
1/20/2015 1:15:09 PM, img/2015/GlyphGroupUnion/GlyphItemFriend.png, 371, 225, 39.4
1/20/2015 1:15:10 PM, img/2015/GlyphGroupTypedef/TotalGlyphItems.png, 248, 161, 35.1
1/20/2015 1:15:10 PM, img/2015/GlyphGroupTypedef/GlyphItemShortcut.png, 289, 174, 39.8
1/20/2015 1:15:11 PM, img/2015/GlyphGroupTypedef/GlyphItemPublic.png, 261, 154, 41
1/20/2015 1:15:11 PM, img/2015/GlyphGroupTypedef/GlyphItemProtected.png, 398, 231, 42
1/20/2015 1:15:11 PM, img/2015/GlyphGroupTypedef/GlyphItemPrivate.png, 292, 167, 42.8
1/20/2015 1:15:12 PM, img/2015/GlyphGroupTypedef/GlyphItemInternal.png, 396, 232, 41.4
1/20/2015 1:15:12 PM, img/2015/GlyphGroupTypedef/GlyphItemFriend.png, 396, 232, 41.4
1/20/2015 1:15:12 PM, img/2015/GlyphGroupType/TotalGlyphItems.png, 259, 147, 43.2
1/20/2015 1:15:13 PM, img/2015/GlyphGroupType/GlyphItemShortcut.png, 290, 171, 41
1/20/2015 1:15:13 PM, img/2015/GlyphGroupType/GlyphItemPublic.png, 248, 161, 35.1
1/20/2015 1:15:13 PM, img/2015/GlyphGroupType/GlyphItemProtected.png, 388, 226, 41.8
1/20/2015 1:15:14 PM, img/2015/GlyphGroupType/GlyphItemPrivate.png, 293, 171, 41.6
1/20/2015 1:15:14 PM, img/2015/GlyphGroupType/GlyphItemInternal.png, 370, 234, 36.8
1/20/2015 1:15:14 PM, img/2015/GlyphGroupType/GlyphItemFriend.png, 370, 234, 36.8
